OrderID,OrderDate,CustomerName,Product,Region,Salesperson,Quantity,UnitPrice,Revenue,OrderStatus,PaymentMethod
ORD10020,2024-12-23,Customer_461,SSD,east,Amit,5,2500,12500,Cancelled,Cash
ORD10021,2024-11-28,Customer_530,Webcam,East,Priya,9,800,7200,delivered,cash 
ORD10022,2025-01-12,Customer_231,Speaker,East,Sneha,6,500,3000,Cancelled,Debit Card
ORD10023,2024-09-27,Customer_408,Laptop,South,Sneha,9,500,4500,Delivered,Credit Card
ORD10024,2024-10-01,Customer_579,Monitor,East,Priya,2,5000,10000,Returned,Cash
ORD10025,2025-07-04,Customer_137,Webcam,West,Pooja,3,25000,75000, Returned,Net Banking
ORD10026,2024-01-29,Customer_264,Speaker,West,Sneha,8,1200,9600,delivered,Credit Card
ORD10027,2025-09-16,Customer_7,Speaker,East,Priya,10,2500,25000, Returned,UPI
ORD10028,2025-01-04,Customer_472,Headset,East,Sneha,7,1200,8400,Shipped,Debit Card
ORD10029,2024-07-16,Customer_186,Tablet,West,Karan,1,25000,25000,delivered,Debit Card
ORD10030,2024-06-28,Customer_573,Tablet,East,Priya,6,500,3000,Returned,Cash
ORD10031,2025-09-11,Customer_330,Laptop,north ,Karan,7,500,3500,Returned,UPI
ORD10032,2025-04-21,Customer_588,Headset,West,Vikas,4,12000,48000,Shipped,Cash
ORD10033,2025-08-08,,Monitor,north ,Vikas,8,5000,40000,Returned,UPI
ORD10034,2024-07-05,Customer_127,Laptop,West,Rahul,7,12000,84000,Shipped,Cash
ORD10035,2024-02-13,Customer_482,Webcam,east,Neha,3,1200,3600,Cancelled,Cash
ORD10036,2024-02-02,Customer_475,Webcam,East,Amit,10,25000,250000,Returned,cash 
ORD10037,2025-01-30,Customer_234,Mouse,South,Karan,5,1200,6000,Returned,Net Banking
ORD10038,2024-02-14,Customer_14,SSD,North,Vikas,3,800,2400,delivered,Credit Card
ORD10039,2025-06-27,Customer_199,Printer,West,Sneha,8,25000,200000,Returned,Cash
ORD10039,2024-04-04,Customer_106,SSD,north ,Vikas,10,5000,50000,Cancelled,Cash
ORD10041,2024-03-10,Customer_402,Tablet,North,Karan,8,500,4000, Returned,Net Banking
ORD10042,2025-06-13,Customer_366,Keyboard,South,Sneha,8,800,6400,Cancelled,UPI
ORD10043,2024-09-07,Customer_214,Mouse,North,Karan,7,500,3500, Returned,Debit Card
ORD10044,2025-07-14,Customer_31,Laptop   ,east,Karan,4,12000,48000, Returned,Debit Card
ORD10045,2024-07-09,Customer_312,Mouse, SOUTH,Neha,5,12000,60000,Cancelled,Cash
ORD10046,2024-01-27,Customer_371,Keyboard,West,Sneha,8,800,6400,delivered,cash 
ORD10047,2025-03-21,Customer_401,Webcam,North,Pooja,4,2500,10000,Delivered,Debit Card
ORD10048,2024-05-22,Customer_488,Mouse,West,Neha,3,500,1500,delivered,Cash
ORD10049,2024-01-18,Customer_456,Webcam,East,Sneha,6,1200,7200,Shipped,UPI
ORD10050,2024-04-18,Customer_521,Mouse,East,Priya,10,12000,120000, Returned,Credit Card
ORD10051,2025-01-28,Customer_185,Tablet,South,Amit,3,2500,7500,Cancelled,UPI
ORD10052,2024-12-04,Customer_34,Mouse,West,Karan,3,800,,Cancelled,cash 
ORD10053,2025-02-18,Customer_62,Laptop,West,Priya,3,500,1500,Cancelled,cash 
ORD10054,2024-02-12,Customer_368,SSD,South,Sneha,4,25000,100000,Shipped,Debit Card
ORD10055,18/11/2025,Customer_147,Mouse,East,Karan,1,1200,1200,Returned,Credit Card
ORD10056,2024-03-03,Customer_60,Webcam,South,Vikas,2,500,1000,Cancelled,Credit Card
ORD10057,2025-07-24,Customer_1,Speaker,West,Neha,9,1200,10800,Returned,cash 
ORD10058,2024-05-13,Customer_427,Laptop,East,Neha,10,1200,12000, Returned,UPI
ORD10059,2024-12-24,Customer_519,Laptop,West,Rahul,5,500,2500,delivered,Debit Card
ORD10060,2025-03-31,Customer_108,Speaker,West,Priya,9,800,7200,Cancelled,Credit Card
ORD10061,2025-01-01,Customer_438,SSD,north ,Rahul,5,12000,60000,Shipped,UPI
ORD10062,2024-09-23,Customer_32,Keyboard,South,Priya,4,1200,4800,Cancelled,cash 
ORD10063,2025-09-11,Customer_104,Printer,East,Amit,2,500,1000,Returned,Debit Card
ORD10064,2024-05-13,Customer_259,Tablet,East,Priya,2,5000,10000, Returned,Cash
ORD10065,2024-05-03,Customer_338,Printer,South,Amit,5,2500,12500,Delivered,UPI
ORD10066,2025-09-26,,SSD,East,Rahul,-7,25000,-175000,Cancelled,Net Banking
ORD10067,2024-01-01,Customer_426,Monitor,east,Karan,4,500,2000,Cancelled,UPI
ORD10068,2024-06-27,Customer_549,Printer,east,Karan,7,800,5600,Returned,UPI
ORD10069,2024-01-25,Customer_125,Speaker,north ,Amit,7,1200,8400, Returned,cash 
ORD10070,2025-07-10,Customer_193,Printer,north ,Neha,5,5000,25000,Delivered,cash 
ORD10071,2024-05-28,Customer_316,Printer,South,Pooja,4,2500,10000,Delivered,Net Banking
ORD10072,2024-03-08,Customer_158,Keyboard,South,Priya,1,5000,5000,Shipped,Cash
ORD10073,2024-07-13,Customer_411,Speaker,north ,Neha,7,12000,84000,Delivered,Credit Card
ORD10074,2024-04-01,Customer_450,Laptop, SOUTH,Amit,9,1200,10800,Cancelled,cash 
ORD10075,2024-02-06,Customer_160,Webcam,North,Karan,2,12000,24000, Returned,Net Banking
ORD10076,2025-09-22,Customer_394,Headset, SOUTH,Karan,3,12000,36000,Shipped,cash 
ORD10077,2025-11-27,  Customer_107  ,Mouse,South,Rahul,1,800,800, Returned,cash 
ORD10078,2025-08-20,Customer_310,Headset, SOUTH,Vikas,9,2500,22500,Returned,Net Banking
ORD10079,2024-07-07,Customer_547,Webcam,east,Amit,9,500,4500,delivered,Cash
ORD10079,2025-12-27,Customer_148,Webcam,north ,Priya,10,12000,120000,Shipped,cash 
ORD10081,2024-09-09,Customer_565,SSD,East,Pooja,1,1200,1200,Returned,cash 
ORD10082,2024-10-18,Customer_552,Speaker,east,Neha,10,12000,120000,Cancelled,Credit Card
ORD10083,2024-02-10,Customer_384,Laptop,West,Neha,10,500,5000,Shipped,cash 
ORD10084,2024-06-30,Customer_108,Speaker,north ,Karan,2,800,1600,Cancelled,Cash
ORD10085,2025-11-26,Customer_102,SSD,South,Pooja,9,25000,225000,Returned,Debit Card
ORD10086,2025-09-11,Customer_427,Printer,West,Rahul,6,12000,72000,Cancelled,UPI
ORD10087,2025-12-30,Customer_55,Webcam,North,Rahul,3,1200,3600,Cancelled,cash 
ORD10088,2024-06-20,Customer_409,Keyboard   ,north ,Rahul,9,800,7200,Shipped,Cash
ORD10089,2025-11-15,Customer_6,SSD,East,Pooja,3,1200,3600,Cancelled,UPI
ORD10090,2025-03-13,Customer_484,Tablet, SOUTH,Karan,6,500,3000,Shipped,cash 
ORD10091,2024-03-31,Customer_336,SSD,North,Amit,8,500,#VALUE!, Returned,Debit Card
ORD10092,2025-01-08,Customer_329,Monitor, SOUTH,Pooja,9,12000,108000, Returned,Cash
ORD10093,2025-12-12,Customer_350,Monitor,South,Pooja,1,800,800,Cancelled,cash 
ORD10094,2025-04-25,Customer_439,Laptop,South,Vikas,6,12000,72000,Returned,Cash
ORD10095,2024-11-14,Customer_74,Headset,North,Priya,4,25000,100000,delivered,Credit Card
ORD10096,2025-06-13,Customer_11,Speaker,West,Karan,8,5000,40000, Returned,Net Banking
ORD10097,2024-03-06,Customer_193,Keyboard,East,Karan,6,800,4800, Returned,Net Banking
ORD10098,2024-04-29,Customer_406,Mouse,West,Priya,6,5000,30000,Cancelled,Debit Card
ORD10099,2024-04-01,,Headset,North,Priya,3,800,2400,Shipped,cash 
ORD10100,2025-11-01,Customer_460,Tablet,North,Karan,8,12000,96000,Delivered,UPI
ORD10101,2024-11-02,Customer_520,Tablet,east,Neha,7,25000,175000,Returned,Debit Card
ORD10102,2024-03-05,Customer_342,Speaker,North,Pooja,3,500,1500,Shipped,Cash
ORD10103,2024-11-25,Customer_34,Monitor, SOUTH,Vikas,5,1200,6000,Cancelled,Debit Card
ORD10104,2025-09-11,Customer_484,Headset,east,Amit,4,5000,,delivered,Net Banking
ORD10105,2024-06-08,Customer_213,Headset,West,Sneha,4,12000,48000,Returned,Credit Card
ORD10106,2024-07-20,Customer_475,SSD, SOUTH,Pooja,6,2500,15000,Shipped,Debit Card
ORD10107,2025-03-22,Customer_301,Mouse,West,Priya,7,25000,175000,delivered,Debit Card
ORD10108,2025-01-26,Customer_580,Speaker,South,Sneha,10,5000,50000,Delivered,Credit Card
ORD10109,2025-12-13,Customer_427,Webcam,north ,Vikas,8,12000,96000,delivered,Credit Card
ORD10110,24/10/2024,Customer_180,Webcam,West,Priya,4,12000,48000,delivered,Net Banking
ORD10111,32/13/2024,Customer_65,Headset, SOUTH,Rahul,8,12000,96000,Cancelled,Debit Card
ORD10112,2025-12-17,Customer_132,Keyboard,South,Rahul,5,2500,12500,Shipped,Debit Card
ORD10113,2025-09-23,Customer_238,Speaker,South,Amit,4,1200,4800,Returned,Credit Card
ORD10114,2025-09-17,Customer_459,Laptop,east,Neha,3,800,2400,delivered,cash 
ORD10115,2024-06-14,Customer_334,Laptop,North,Neha,2,800,1600,Cancelled,UPI
ORD10116,2024-06-27,Customer_473,Tablet,north ,Amit,3,500,1500,delivered,cash 
ORD10117,2024-08-30,Customer_105,Tablet, SOUTH,Vikas,3,800,2400,Cancelled,Net Banking
ORD10118,2024-05-10,Customer_596,Headset,north ,Pooja,7,500,3500,Returned,Net Banking
ORD10119,2025-03-18,Customer_164,Speaker,South,Vikas,3,800,2400, Returned,cash 
ORD10119,2025-03-27,Customer_518,Keyboard,east,Sneha,10,12000,120000,Cancelled,Cash
ORD10121,2024-06-21,Customer_238,SSD,East,Rahul,2,500,1000, Returned,UPI
ORD10122,2025-05-25,Customer_415,Monitor,east,Sneha,9,12000,108000,delivered,Net Banking
ORD10123,2024-03-20,Customer_275,Printer,East,Sneha,9,1200,10800,Cancelled,Cash
ORD10124,2024-07-28,Customer_195,Laptop,north ,Vikas,2,2500,5000,Shipped,UPI
ORD10125,2024-07-08,Customer_477,Headset,West,Vikas,9,500,4500,Delivered,Net Banking
ORD10126,2025-10-14,Customer_25,Keyboard,South,Pooja,5,1200,6000, Returned,cash 
ORD10127,2025-04-23,Customer_310,Mouse,East,Neha,8,2500,20000,Delivered,Credit Card
ORD10128,2025-01-02,Customer_261,Printer,North,Priya,10,5000,50000,Delivered,cash 
ORD10129,2025-12-31,Customer_356,Headset,West,Rahul,8,2500,20000,Cancelled,Credit Card
ORD10130,2024-07-02,Customer_341,Monitor,South,Sneha,8,25000,200000, Returned,Net Banking
ORD10131,2025-01-15,Customer_387,Keyboard,East,Karan,5,5000,25000,delivered,cash 
ORD10132,2025-03-19,,Monitor   , SOUTH,Sneha,-8,800,-6400,Cancelled,Cash
ORD10133,2024-12-18,Customer_456,Speaker,North,Pooja,6,12000,72000,Returned,Net Banking
ORD10134,2025-11-15,Customer_56,Monitor,South,Vikas,1,1200,1200,Cancelled,Net Banking
ORD10135,2024-07-05,Customer_164,Monitor,South,Vikas,9,800,7200,Shipped,Cash
ORD10136,2025-04-30,Customer_58,Tablet,East,Neha,10,2500,25000,Cancelled,UPI
ORD10137,2024-08-25,Customer_449,Printer,South,Karan,2,1200,2400,Returned,Net Banking
ORD10138,2025-07-10,Customer_493,Speaker,South,Rahul,1,500,500,Shipped,Net Banking
ORD10139,2024-08-22,Customer_106,Webcam,east,Neha,8,500,4000,Cancelled,Credit Card
ORD10140,2024-08-15,Customer_21,Mouse,north ,Pooja,2,5000,10000,delivered,cash 
ORD10141,2025-05-23,Customer_299,Monitor,West,Sneha,6,25000,150000,delivered,Cash
ORD10142,2024-08-06,Customer_198,Laptop, SOUTH,Vikas,9,800,7200,Returned,Net Banking
ORD10143,2024-10-20,Customer_141,Webcam,South,Sneha,7,1200,8400,Cancelled,UPI
ORD10144,2025-01-16,Customer_239,Headset,West,Amit,2,5000,10000, Returned,UPI
ORD10145,2025-01-13,Customer_579,Laptop, SOUTH,Neha,10,2500,25000, Returned,UPI
ORD10146,2024-06-24,Customer_201,Printer,West,Vikas,7,800,5600,Cancelled,Cash
ORD10147,2024-12-04,Customer_289,SSD,east,Vikas,10,12000,120000, Returned,Net Banking
ORD10148,2025-01-12,Customer_522,Speaker,West,Pooja,6,800,4800,delivered,UPI
ORD10149,2025-10-23,Customer_137,Keyboard,North,Neha,7,12000,84000,Shipped,cash 
ORD10150,2025-05-19,Customer_217,Monitor,South,Sneha,6,500,3000,Cancelled,Cash
ORD10151,2024-05-10,Customer_269,Monitor,north ,Karan,7,800,5600,Shipped,cash 
ORD10152,2024-07-13,Customer_6,Mouse,north ,Sneha,10,12000,120000, Returned,Credit Card
ORD10153,2024-09-09,Customer_56,SSD,South,Karan,6,1200,7200,Shipped,Cash
ORD10154,2024-03-07,  Customer_551  ,Printer,South,Karan,7,12000,84000,Cancelled,Debit Card
ORD10155,2024-08-18,Customer_367,Webcam, SOUTH,Amit,10,5000,50000,Cancelled,Net Banking
ORD10156,2025-10-16,Customer_350,SSD,West,Amit,2,500,,delivered,cash 
ORD10157,2024-02-28,Customer_412,Mouse,North,Rahul,3,12000,36000,Returned,cash 
ORD10158,2024-07-13,Customer_262,Monitor,South,Pooja,4,25000,100000,Delivered,UPI
ORD10159,2024-03-12,Customer_520,Monitor,north ,Rahul,8,1200,9600, Returned,Credit Card
ORD10159,2025-05-24,Customer_491,Speaker,North,Karan,10,800,8000,Delivered,Net Banking
ORD10161,2024-03-06,Customer_360,Mouse,north ,Sneha,3,2500,7500,delivered,Credit Card
ORD10162,2024-09-12,Customer_229,Monitor,east,Vikas,3,500,1500,delivered,Debit Card
ORD10163,2024-04-07,Customer_248,Monitor,East,Neha,1,12000,12000,Returned,UPI
ORD10164,2024-09-01,Customer_527,Printer,North,Vikas,1,25000,25000,Delivered,cash 
ORD10165,09/12/2025,,Webcam,East,Neha,7,800,5600,Shipped,Cash
ORD10166,2024-08-02,Customer_570,Tablet,North,Amit,8,500,4000,Delivered,UPI
ORD10167,2025-04-29,Customer_401,Monitor, SOUTH,Amit,9,25000,225000,delivered,cash 
ORD10168,2025-11-10,Customer_209,Headset, SOUTH,Rahul,3,800,2400,delivered,Cash
ORD10169,2025-10-18,Customer_310,Printer,West,Amit,2,25000,50000,Delivered,Debit Card
ORD10170,2025-05-28,Customer_80,Printer, SOUTH,Pooja,7,12000,84000,Returned,UPI
ORD10171,2024-05-09,Customer_476,Keyboard,north ,Vikas,10,5000,50000,delivered,cash 
ORD10172,2025-07-28,Customer_334,SSD,South,Sneha,10,1200,12000,Cancelled,cash 
ORD10173,2025-04-10,Customer_323,Mouse,east,Sneha,2,2500,5000,Shipped,Net Banking
ORD10174,2024-08-28,Customer_399,Printer,east,Vikas,6,5000,30000, Returned,Cash
ORD10175,2025-08-28,Customer_563,Laptop,West,Rahul,9,500,4500,Cancelled,Net Banking
ORD10176,2025-03-14,Customer_143,SSD   ,East,Rahul,2,25000,50000,Cancelled,UPI
ORD10177,2024-04-11,Customer_599,Printer,East,Karan,6,800,4800,Returned,UPI
ORD10178,2024-09-09,Customer_581,Laptop,East,Karan,9,2500,22500, Returned,UPI
ORD10179,2024-09-25,Customer_229,Printer,north ,Sneha,8,12000,96000,Shipped,UPI
ORD10180,2024-08-02,Customer_224,Keyboard, SOUTH,Vikas,9,25000,225000,Cancelled,Debit Card
ORD10181,2024-07-07,Customer_291,Mouse,east,Sneha,7,1200,8400,Shipped,cash 
ORD10182,2025-04-04,Customer_163,Laptop,north ,Amit,5,5000,#VALUE!, Returned,Credit Card
ORD10183,2025-03-24,Customer_447,Keyboard,East,Amit,5,1200,6000, Returned,Credit Card
ORD10184,2025-03-28,Customer_232,Laptop,East,Rahul,1,1200,1200,Shipped,cash 
ORD10185,2025-11-13,Customer_589,Mouse,West,Rahul,4,25000,100000,Delivered,Cash
ORD10186,2024-05-31,Customer_126,Keyboard,north ,Amit,3,25000,75000,Delivered,UPI
ORD10187,2024-09-05,Customer_477,SSD,East,Rahul,9,5000,45000, Returned,Net Banking
ORD10188,2025-05-13,Customer_97,Laptop,South,Karan,10,1200,12000,delivered,cash 
ORD10189,2024-12-17,Customer_517,Speaker,South,Rahul,1,5000,5000,Cancelled,Debit Card
ORD10190,2024-07-01,Customer_512,Laptop,South,Neha,7,25000,175000,delivered,Net Banking
ORD10191,2025-07-04,Customer_471,Printer,North,Sneha,3,25000,75000,delivered,Net Banking
ORD10192,2025-12-19,Customer_334,Mouse, SOUTH,Amit,4,1200,4800,Cancelled,Debit Card
ORD10193,2025-05-26,Customer_419,Laptop,east,Pooja,10,25000,250000,Shipped,Credit Card
ORD10194,2024-07-30,Customer_391,Mouse,north ,Karan,10,5000,50000,Returned,UPI
ORD10195,2025-10-31,Customer_195,Monitor,north ,Sneha,1,800,800,Cancelled,Debit Card
ORD10196,2025-02-26,Customer_294,Keyboard,North,Vikas,10,500,5000,delivered,Debit Card
ORD10197,2025-03-21,Customer_84,Laptop,West,Karan,6,12000,72000, Returned,Cash
ORD10198,2024-12-22,,Printer,West,Karan,-8,25000,-200000,Cancelled,cash 
ORD10199,2024-07-04,Customer_95,Tablet,South,Amit,2,1200,2400, Returned,UPI
ORD10199,2025-02-20,Customer_178,Speaker,East,Neha,2,800,1600,delivered,Debit Card
ORD10201,2025-08-07,Customer_167,Printer,north ,Pooja,9,800,7200,delivered,UPI
ORD10202,2024-11-04,Customer_295,Printer, SOUTH,Priya,7,500,3500,delivered,UPI
ORD10203,2025-01-01,Customer_88,Printer,South,Amit,2,5000,10000,delivered,Cash
ORD10204,2025-12-05,Customer_471,Webcam,East,Vikas,1,800,800,Returned,Cash
ORD10205,2025-03-01,Customer_279,Speaker,South,Sneha,3,5000,15000,delivered,Net Banking
ORD10206,2025-02-24,Customer_252,Laptop,West,Pooja,3,1200,3600,Delivered,Debit Card
ORD10207,2024-10-18,Customer_533,Laptop,South,Neha,4,2500,10000, Returned,Debit Card
ORD10208,2025-01-14,Customer_332,Webcam,north ,Amit,6,25000,,Delivered,cash 
ORD10209,2025-11-20,Customer_600,Keyboard,South,Neha,6,1200,7200, Returned,cash 
ORD10210,2025-11-08,Customer_256,SSD,north ,Sneha,5,12000,60000,Returned,cash 
ORD10211,2025-05-19,Customer_357,Tablet,West,Pooja,6,25000,150000,Delivered,Cash
ORD10212,2025-09-22,Customer_104,Tablet,north ,Vikas,9,800,7200,Shipped,UPI
ORD10213,2024-10-07,Customer_294,Mouse,West,Neha,2,800,1600,Cancelled,cash 
ORD10214,2025-10-05,Customer_370,Mouse,North,Karan,4,1200,4800,Delivered,cash 
ORD10215,2025-10-31,Customer_443,Laptop,South,Sneha,8,12000,96000,Delivered,Credit Card
ORD10216,2025-06-19,Customer_164,Keyboard, SOUTH,Amit,1,12000,12000,delivered,Credit Card
ORD10217,2024-05-01,Customer_252,Headset, SOUTH,Sneha,1,5000,5000,Shipped,Net Banking
ORD10218,2024-12-19,Customer_189,Headset,West,Sneha,1,800,800,delivered,UPI
ORD10219,2024-10-06,Customer_67,Webcam,north ,Priya,2,500,1000,Returned,Credit Card
ORD10220,25/11/2025,Customer_450,Webcam   ,North,Amit,7,2500,17500,Cancelled,UPI
ORD10221,2025-10-06,Customer_171,Laptop,east,Sneha,7,25000,175000,Cancelled,Cash
ORD10222,32/13/2024,Customer_304,Speaker,West,Pooja,1,2500,2500,Shipped,Debit Card
ORD10223,2024-04-04,Customer_136,Tablet,South,Priya,8,12000,96000,delivered,Net Banking
ORD10224,2024-12-25,Customer_514,Monitor,East,Rahul,7,1200,8400,Returned,UPI
ORD10225,2025-10-17,Customer_64,Tablet,north ,Vikas,2,2500,5000,delivered,Debit Card
ORD10226,2024-11-20,Customer_503,Speaker,East,Amit,2,5000,10000,Cancelled,Net Banking
ORD10227,2025-02-20,Customer_385,SSD,East,Neha,9,1200,10800,delivered,Net Banking
ORD10228,2024-08-19,Customer_592,SSD,West,Priya,6,12000,72000,Returned,Debit Card
ORD10229,2024-08-31,Customer_208,Mouse,north ,Neha,4,12000,48000,delivered,cash 
ORD10230,2025-03-13,Customer_39,SSD,East,Amit,3,2500,7500,Delivered,Net Banking
ORD10231,2024-02-17,    ,Mouse,South,Neha,7,5000,35000,Cancelled,Debit Card
ORD10232,2025-10-12,Customer_138,Mouse,North,Neha,3,5000,15000,Returned,Cash
ORD10233,2024-07-15,Customer_389,SSD,north ,Priya,5,800,4000,Returned,Debit Card
ORD10234,2024-05-23,Customer_385,Printer, SOUTH,Amit,10,25000,250000,Delivered,UPI
ORD10235,2024-08-16,Customer_476,Laptop,West,Priya,4,800,3200,Returned,Net Banking
ORD10236,2024-04-30,Customer_297,Laptop,north ,Sneha,1,12000,12000,Cancelled,Debit Card
ORD10237,2025-11-11,Customer_574,Printer,north ,Neha,6,1200,7200,Shipped,Cash
ORD10238,2025-04-22,Customer_274,Webcam,east,Karan,2,500,1000,Returned,UPI
ORD10239,2024-07-24,Customer_260,Tablet,East,Karan,3,1200,3600,Cancelled,Credit Card
ORD10239,2024-06-23,Customer_349,Printer,West,Pooja,4,25000,100000,delivered,Debit Card
ORD10241,2025-07-23,Customer_557,Webcam,east,Neha,6,1200,7200, Returned,Cash
ORD10242,2024-09-04,Customer_54,Headset,east,Pooja,1,800,800,Delivered,Credit Card
ORD10243,2025-10-20,Customer_32,Mouse,South,Pooja,3,800,2400,Cancelled,UPI
ORD10244,2024-08-25,Customer_549,Webcam,north ,Rahul,1,500,500,Cancelled,cash 
ORD10245,2024-04-24,Customer_404,Speaker,South,Pooja,4,5000,20000,Cancelled,UPI
ORD10246,2024-03-16,Customer_487,Headset, SOUTH,Priya,4,12000,48000, Returned,Cash
ORD10247,2025-01-25,Customer_427,Headset,North,Amit,6,5000,30000, Returned,UPI
ORD10248,2025-10-17,Customer_520,Printer, SOUTH,Pooja,10,5000,50000,Returned,UPI
ORD10249,2025-05-03,Customer_545,Headset,North,Neha,7,12000,84000,Returned,Credit Card
ORD10250,2025-04-07,Customer_267,Webcam,South,Amit,6,25000,150000,Shipped,cash 
ORD10251,2024-01-22,Customer_179,SSD, SOUTH,Pooja,1,2500,2500, Returned,Cash
ORD10252,2024-06-17,Customer_431,Tablet,East,Pooja,10,12000,120000,delivered,Debit Card
ORD10253,2024-12-08,Customer_382,Speaker,East,Neha,5,5000,25000,delivered,Debit Card
ORD10254,2025-11-05,Customer_391,Monitor,north ,Amit,10,800,8000, Returned,Credit Card
ORD10255,2025-11-28,Customer_327,Mouse,West,Vikas,10,25000,250000,Delivered,Debit Card
ORD10256,2024-11-25,Customer_588,Mouse,east,Rahul,5,5000,25000,delivered,Debit Card
ORD10257,2025-01-01,Customer_5,SSD,north ,Neha,5,500,2500,Cancelled,Net Banking
ORD10258,2024-02-27,Customer_41,Speaker,North,Vikas,7,12000,84000,Cancelled,cash 
ORD10259,2024-05-17,Customer_588,Monitor,North,Neha,5,2500,12500,Delivered,UPI
ORD10260,2025-04-29,Customer_333,SSD,West,Sneha,2,5000,, Returned,Debit Card
ORD10261,2024-09-02,Customer_337,Mouse, SOUTH,Karan,5,5000,25000,Shipped,cash 
ORD10262,2024-08-22,Customer_271,Keyboard,north ,Vikas,2,1200,2400,Returned,Cash
ORD10263,2025-12-13,Customer_291,Monitor,South,Pooja,6,500,3000, Returned,UPI
ORD10264,2024-11-03,,Laptop   ,North,Pooja,-10,2500,-25000,Delivered,cash 
ORD10265,2024-09-09,Customer_483,Tablet,South,Vikas,2,500,1000,Returned,Net Banking
ORD10266,2024-03-13,Customer_562,Monitor,West,Pooja,7,25000,175000,delivered,cash 
ORD10267,2025-05-20,Customer_226,Tablet,West,Priya,6,2500,15000, Returned,Net Banking
ORD10268,2025-05-07,Customer_299,Monitor,West,Pooja,3,12000,36000,delivered,Net Banking
ORD10269,2024-11-02,Customer_7,SSD,north ,Vikas,9,5000,45000,Shipped,Cash
ORD10270,2024-04-22,Customer_342,Tablet,East,Amit,2,5000,10000,Delivered,UPI
ORD10271,2025-11-22,Customer_114,Printer,north ,Priya,4,800,3200,Cancelled,Cash
ORD10272,2025-05-31,Customer_56,Monitor,North,Pooja,8,12000,96000,Returned,UPI
ORD10273,2024-04-30,Customer_379,SSD,North,Sneha,3,500,#VALUE!, Returned,UPI
ORD10274,2024-12-12,Customer_175,Laptop,east,Priya,5,25000,125000,Cancelled,Debit Card
ORD10275,14/03/2024,Customer_301,SSD,South,Neha,2,500,1000, Returned,Net Banking
ORD10276,2025-04-19,Customer_447,Monitor,North,Sneha,2,1200,2400,delivered,Credit Card
ORD10277,2024-10-18,Customer_77,Keyboard,West,Karan,1,2500,2500,Cancelled,Net Banking
ORD10278,2024-10-21,Customer_381,Tablet,north ,Sneha,10,1200,12000,Shipped,Credit Card
ORD10279,2025-04-16,Customer_266,Tablet,North,Karan,6,1200,7200,Returned,cash 
ORD10279,2025-08-29,Customer_279,Printer,north ,Rahul,7,25000,175000,Cancelled,UPI
ORD10281,2025-02-01,Customer_47,Keyboard,South,Pooja,9,800,7200,Returned,Cash
ORD10282,2024-08-21,Customer_495,Headset,East,Sneha,5,2500,12500,Shipped,Debit Card
ORD10283,2025-04-29,Customer_599,Mouse,east,Priya,5,5000,25000, Returned,Cash
ORD10284,2024-08-19,Customer_539,Speaker,north ,Rahul,4,500,2000,Cancelled,Credit Card
ORD10285,2025-03-07,Customer_77,SSD,east,Pooja,1,5000,5000, Returned,cash 
ORD10286,2024-12-01,Customer_143,Printer, SOUTH,Neha,9,500,4500,Returned,Credit Card
ORD10287,2024-11-27,Customer_1,Tablet,East,Neha,5,12000,60000,Cancelled,Net Banking
